UID,Timestamp,Status,Videos Count,Query,Random Topic,Augmented Query 1,Augmented Query 2,Time to copy audio,Time to load and transform video,Time to load and transform audio,Time to load and transform text,Time to get ImageBind inputs,Time to get ImageBind embeddings,Video ID 1,Video Value 1,Video Selected 1,Video ID 2,Video Value 2,Video Selected 2,Video ID 3,Video Value 3,Video Selected 3,Video ID 4,Video Value 4,Video Selected 4,Video ID 5,Video Value 5,Video Selected 5,Video ID 6,Video Value 6,Video Selected 6,Video ID 7,Video Value 7,Video Selected 7,Video ID 8,Video Value 8,Video Selected 8,Video ID 9,Video Value 9,Video Selected 9,Video ID 10,Video Value 10,Video Selected 10,Video ID 11,Video Value 11,Video Selected 11,Video ID 12,Video Value 12,Video Selected 12,AvScore
199,2024-06-17 13:47:35.804,not_blacklisted,8,Implementing RAID Configurations,Lessons on developing serve return technique\,"Create a variation of ""Lessons on developing serve return technique"" using specific names, types, places, or scenes, with a maximum length of 8 words. Do not include emojis.","Create a specific version of the topic ""Lessons on developing serve return technique"" by incorporating particular names, types, locations, or scenes, etc., while ensuring the revised version",1.0297954082489014,19.530482053756714,1.5303444862365723,0.24418854713439941,22.336840391159058,0.07614660263061523,e5T821O0Q7U,0.32472166419029236,false,6ko_0cjfP-0,0.3057539463043213,true,jTXDrAjxFJA,0.34288686513900757,true,wijs8_PZGPU,0.3352176547050476,false,qhLfyuljKSU,0.28942200541496277,true,O677rNv24WQ,0.32885611057281494,true,aC27UzEtxJk,0.3323701322078705,false,lPyvluUqMpI,0.28832557797431946,false,rddGDmAoUTE,0.3500981330871582,true,9s5l5sjt__w,0.2986799478530884,false,I7TnBXHM3N8,0.3495261073112488,true,n1DfuAWxkyE,0.32441458106040955,true,
185,2024-06-17 13:52:26.852,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2024-06-17 13:55:31.544,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-06-17 13:55:32.197,not_blacklisted,8,Basics of computer programming,Lifehacks for everyday life.\,"Create a variation of the topic ""Lifehacks for everyday life"" that is more specific, using particular names, types, location, or scene, etc., and do not make it","Create a more specific variation of the topic ""Lifehacks for everyday life"" using particular names, types, locations, or scenes, but limit it to 8 words and avoid using emojis.",0.8815624713897705,22.482553243637085,1.4354383945465088,0.1514577865600586,24.95271921157837,0.07388567924499512,Khy16trPdxk,0.19445668160915375,true,hkp2Ar8InOM,0.2601645588874817,false,FM_KAd_fhaA,0.2544775605201721,false,8Y7eidylrMs,0.35594508051872253,true,ii0a3GsVaRI,0.17801663279533386,true,pConhYzfrcA,0.20908090472221375,true,hmdO68psA5U,0.27673783898353577,false,0UmLDiuCxpI,0.20494116842746735,false,g9xRyA5-wBI,0.2794349193572998,true,WEZdnaa4Lwk,0.2526032626628876,false,SBPhHSfqmfM,0.21215300261974335,false,qZ7RsSkRv2A,0.23564870655536652,true,
254,2024-06-17 13:57:52.347,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 13:59:56.828,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2024-06-17 14:04:34.595,not_blacklisted,8,Setting Up Automated Maintenance Tasks,Techniques and tactics of playing Quidditch: video instructions and educational materials\,"Create a variation of the topic ""Techniques and tactics of playing Quidditch: video instructions and educational materials."" Make it more specific using particular names, types",,0.8671379089355469,17.597313165664673,1.1395866870880127,0.9752345085144043,20.581171989440918,8.172127962112427,Q-5UmioU4tA,0.35067039728164673,true,XcL7U2SEIxs,0.16107413172721863,false,ArBpLDsS-lA,0.21792951226234436,false,5AHGiVmMdkQ,0.3312540054321289,true,4nN5zDk8ND8,0.20578762888908386,true,qt_pgwIXrto,0.32245969772338867,true,12eyBwO9uAo,0.22783194482326508,false,zwhf2AIWmi0,0.3127267360687256,true,_bFz9zu5-eE,0.22017702460289001,true,N0FeoZ4UzKE,0.42153558135032654,true,_Zq_ztyajI8,0.33855104446411133,true,,,,0.41
185,2024-06-17 14:09:31.145,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2024-06-17 14:14:23.826,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2024-06-17 14:14:49.047,not_blacklisted,8,Quantum entanglement explained,"Vegan desserts without sugar: fruit sorbets, nut balls, coconut pudding\","8-word vegan dessert variations, featuring sorbets, nut balls, and coconut pudding, with specific names, locations, or scenes.","Vegan berry sorbet, cashew truffle, tropical coconut mousse - Teknium's delightful desserts",0.8899824619293213,16.408541917800903,1.327324390411377,0.18445062637329102,18.811919689178467,0.07432794570922852,TYQH-5_c_ss,0.2725932002067566,true,5EpoY_HtyIc,0.13065892457962036,false,Qx-sKrc0HhY,0.28378570079803467,true,GEaVIlVRSgg,0.23410898447036743,true,PwpXmFrK9cA,0.17159709334373474,false,zLcZowqUfVo,0.1405852884054184,false,H9uELWEpDeM,0.12549662590026855,true,C5sv6OTT1po,0.1552642434835434,false,X90n2ZaAIPg,0.1662609577178955,false,KgNK-PM0sHQ,0.20537981390953064,true,WWWiqZJM5tI,0.1769333779811859,false,RPKswTYuoZ8,0.1321709007024765,true,
166,2024-06-17 14:24:15.481,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 14:42:26.703,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-17 14:49:22.660,not_blacklisted,8,The evolution of Batman,Stories about little-known conflicts and military events.\,"\uc0\u55357 \u56826 \u65039 Little-known \u55357 \u56334 Cavalry conflicts \u55356 \u57328 Medieval Europe, 19th century \u55356 \u57104 wars.","Rare battles and clandestine military affairs, focusing on precise events, places, and personalities.",1.6935315132141113,21.248749256134033,1.6166541576385498,0.1186666488647461,24.690115451812744,0.07449102401733398,WF-FPS3jANs,0.2554195523262024,true,XK3lk2D95as,0.20661039650440216,true,t6mexua9pdQ,0.2785695195198059,false,K65WmyueyfE,0.26581716537475586,true,gkZb5J4jXds,0.19552184641361237,true,qEavV_ml24Q,0.22051414847373962,true,6BxyHwGTago,0.2700478136539459,true,vTGa7iI3Nvc,0.250388503074646,true,h3YYKDKSDYU,0.24153518676757812,true,rN0H50fbQk8,0.19604116678237915,true,petfC5nrj-g,0.22771215438842773,true,-q31VMzDm4k,0.1867808848619461,true,0.42
141,2024-06-17 14:52:26.893,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2024-06-17 14:54:28.806,not_blacklisted,8,Techniques for playing the marimba,Physics of nanosystems for quantum effects and phenomena\,"Quantum physics in nano-tech: Carbon nanotubes, superconductivity.",Graphene-based nano-systems in MIT labs.,0.9540004730224609,18.452256679534912,1.4226891994476318,0.12070536613464355,20.951246738433838,0.07675576210021973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-06-17 14:55:28.456,not_blacklisted,8,Best Practices for SQL Database Indexing,Great moments in La Liga history\,,,,,,,,,gX1aFgZjdU8,0.09794335067272186,false,U_dIpLj2kd8,0.2730225622653961,true,NLb4R8LvzLE,0.1388242542743683,false,Vtd-9BzWTlU,0.13948363065719604,true,7OHVU5vyXmk,0.18058046698570251,true,Rheg0h_oIOw,0.23204347491264343,true,oi8lQ2tM2bU,0.14430822432041168,false,DcQcDqcR6nI,0.16775453090667725,true,B9EDl2bHNcs,0.23425787687301636,true,F5972l9oJhE,0.10328664630651474,false,3uZk37ESIYk,0.1539737731218338,false,gmY1-1ueB7Y,0.17222368717193604,false,
166,2024-06-17 15:03:23.279,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-17 15:07:58.371,not_blacklisted,8,Unique Features of Indian Sitar,Economic aspects of artificial intelligence: investments and risks.\,"\uc0\u55357 \u56522  ""AI investments in Silicon Valley: opportunities and perils.",AI investments in Silicon Valley: gains and pitfalls.,2.2685179710388184,22.047818183898926,1.6269245147705078,0.11299347877502441,26.073827266693115,0.07391357421875,H-Zg1H8qrjY,0.15745356678962708,false,NPdD_BMVH0s,0.13400234282016754,true,H0CrTDfuuwQ,0.1581781953573227,true,lTRZXM3lTjU,0.18781405687332153,true,VoDPGbz8vr8,0.21103054285049438,false,LTqnD8TajzM,0.2329554706811905,true,Z9o5_tfkgfY,0.2567194104194641,true,0xdVJWSu5Ds,0.13357073068618774,true,HuE2snsiIOY,0.21213269233703613,true,n-zqDgpK0jk,0.13508042693138123,false,VABP_FOYD40,0.2772045433521271,true,BVED9Y9mowc,0.20743869245052338,true,0.42
185,2024-06-17 15:10:46.704,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2024-06-17 15:12:18.409,not_blacklisted,8,Iconic rock bassists,Lessons on creating presentations.\,Create a specific lesson on creating business presentations for a startup event in San Francisco.,Tips for business proposal slides in New York City.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2024-06-17 15:12:33.727,not_blacklisted,8,The voyages of Christopher Columbus,"Overview of data analysis tools: Python, R, MATLAB\",,,0.9768874645233154,18.14659333229065,1.3939428329467773,0.15265536308288574,20.67220377922058,0.07625818252563477,gkLddZ27Ink,0.26617908477783203,true,tcj2BhhCMN4,0.2710787057876587,true,yoZWBOlUres,0.26000475883483887,true,io78aVeHMTk,0.2272658348083496,true,El6_izj5uoI,0.2782585918903351,true,nogOikG5u-w,0.22029051184654236,true,a469XK0b3yk,0.1882551908493042,true,hJWvE9DTYl4,0.17073409259319305,true,knFs_QQD6zg,0.24356533586978912,true,SOjygFBksLM,0.24488160014152527,true,Ic_LrZSYWdw,0.17080877721309662,true,kPmSg9YJExg,0.20628571510314941,true,0.42
166,2024-06-17 15:18:56.613,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2024-06-17 15:19:03.225,not_blacklisted,8,Puzzles and brain teasers: Enhancing cognitive function,Lessons in drawing and creating animation.\,Drawing lessons for anime characters in Japan.,"Lessons on drawing ""Disney-style"" animation in New York City.",0.9171016216278076,17.23367691040039,0.7501301765441895,0.23034000396728516,19.132365942001343,0.05906057357788086,2Iw1IcEYxiU,0.32876405119895935,false,e6sXkvmLwIU,0.3257894814014435,false,L6eyvN_9XDs,0.31231623888015747,true,_qAXZBk8F_8,0.2691999673843384,false,HcKhxvsTuqs,0.28233352303504944,true,R_ZsLuB5yY8,0.2788785994052887,true,-1y7X3CpaF4,0.20458757877349854,false,56X5dykKoh0,0.2102700024843216,true,,,,,,,,,,,,,
185,2024-06-17 15:25:43.974,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2024-06-17 15:27:28.808,not_blacklisted,8,Basics of human anatomy,How to become a software testing automation specialist\,"Master Test Automation in NYC using Selenium, JMeter, and CI tools",AI-powered software testing automation specialist in Silicon Valley.,0.5323820114135742,7.451279401779175,0.48432445526123047,0.165421724319458,8.634452104568481,0.05258941650390625,1xqdidQONfM,0.31186920404434204,true,e4pUKxKnTU4,0.18814681470394135,true,nLGb5FxYYz8,0.2748073935508728,true,Ns5YEsBiFS4,0.24222806096076965,true,_Fu45z0oeFs,0.2902829945087433,true,2M_oXd5mcJw,0.22521060705184937,true,,,,,,,,,,,,,,,,,,,0.42
7,2024-06-17 15:33:47.520,not_blacklisted,8,Discovering hidden gems of world literature,Sports dramas and sports movie trailers\,"Create a specific variation of the topic ""Sports dramas and sports movie trailers"" by incorporating particular names, types, location, or scene.",Basketball court dramas and game-winning trailers.,0.9865002632141113,23.686099529266357,1.9942975044250488,0.18622326850891113,26.899454355239868,0.07384228706359863,LQIe4JKjYn4,0.32061201333999634,false,8361stZ8n0w,0.31092920899391174,true,c9pITIfdLNo,0.34738773107528687,true,AgmD-56ruqA,0.32376694679260254,false,SfdPj_ILWms,0.3087588846683502,true,NqL7YC731j4,0.29962798953056335,false,WLsozZFtJzM,0.2978026270866394,true,qT0aE4iAnJo,0.3011643886566162,true,I3imoS5OcCw,0.29908090829849243,true,0yfWnRKXRac,0.2926790118217468,false,r5atKKf0h9Y,0.2573595941066742,true,GH1o778NWb8,0.2629396319389343,true,0.40
254,2024-06-17 15:37:14.363,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 15:37:40.727,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2024-06-17 15:43:04.955,not_blacklisted,8,Bioluminescent organisms in nature,Fighting fakes and forgeries using artificial intelligence.\,Blockchain verification of limited-edition art prints in Europe.,Combating art forgeries with AI in museums.,0.8979675769805908,18.678335189819336,6.024260759353638,0.21300148963928223,25.820456743240356,0.07571220397949219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2024-06-17 15:44:06.685,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2024-06-17 15:57:27.370,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2024-06-17 16:00:51.742,not_blacklisted,8,Modern piracy and its impact on global shipping,How to make money on cryptocurrency arbitrage trading\,Arbitrage trading on Binance for Polkadot and Bitcoin in Canada.,"Best arbitrage opportunities in ETH, BTC, LTC on Binance & Kraken.",0.9226138591766357,18.989019632339478,1.522284746170044,0.11046385765075684,21.54616379737854,0.07529497146606445,ICrL8QC_p64,0.3691514730453491,false,8SKYq9TGMMM,0.3017483949661255,false,zmsqGzAEqoY,0.3529803156852722,false,EiPNZIxW3UM,0.2548423409461975,false,1cps-__vejI,0.3101238012313843,true,23HDKZBqnhA,0.2737318277359009,true,2EUECIcXtTA,0.30304303765296936,false,RraI7aEvuk0,0.21701796352863312,true,HluhK5rv6lU,0.3265661299228668,false,XPfKcQDeqzk,0.26958614587783813,true,c8OhfRP7Vy0,0.33157724142074585,false,KkFHtPJ-jow,0.32481056451797485,false,
166,2024-06-17 16:06:17.662,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 16:09:14.420,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-06-17 16:09:43.267,not_blacklisted,8,Containerization using Docker,How to cope with cultural differences\,Coping with cultural differences in a South Asian-Western fusion family in the UK.,"How to cope with cultural differences in multicultural workplace, using specific examples of team members from India, Mexico, and Japan.",0.65891432762146,14.13517713546753,0.8656015396118164,0.18709468841552734,15.848120212554932,0.06264925003051758,n4nK1eqoD1g,0.20568358898162842,true,aXslSLMZdjU,0.18795156478881836,true,QOcdR--CNTE,0.21037620306015015,true,RUysZuIw47U,0.17447522282600403,true,srRWeRGMJZ4,0.1742645502090454,true,RpwQUim-WcM,0.1392183005809784,true,Q3RCoUzQ7Us,0.15222376585006714,true,UOGTX9i1o2M,0.17212684452533722,true,ZiH3lZ7EGcw,0.25570231676101685,true,,,,,,,,,,
254,2024-06-17 16:15:14.667,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2024-06-17 16:22:26.208,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-17 16:23:12.004,not_blacklisted,8,Network Security Fundamentals for System Administrators,Basketball courses and lessons for skill development\,Los Angeles basketball lessons for children.,"Personalized basketball training with Coach Smith in New York City"".",0.8042819499969482,13.417940139770508,0.7586219310760498,0.20803499221801758,15.190383195877075,0.0629878044128418,vgvCo-l5fvw,0.28092801570892334,true,Z2tAo0QYSsI,0.3088054656982422,false,jfWQD_ylOWI,0.310525119304657,false,82skaX-KvKY,0.3073049783706665,true,PyNnUvSUSK0,0.3027440905570984,false,0Rvf_APaYtE,0.3431236147880554,true,mTm6Of5OJO0,0.3104690909385681,true,1QzwTwRG4P4,0.30094558000564575,false,j5EJ2SlOR2k,0.26632794737815857,true,,,,,,,,,,
216,2024-06-17 16:26:16.860,not_blacklisted,8,Notable cellists throughout history,Reviews of techniques and training to improve jumping and strength for basketball players\,"Teknium, can you provide a review of the Vert Shock program for enhancing basketball performance in terms of jumping and strength training at the Northside Park gym","Improving vertical jumping and strength exercises for NBA players, focusing on specific techniques and training programs.",1.0089983940124512,20.41665291786194,5.607645511627197,0.21289849281311035,27.258239030838013,0.0753164291381836,Ll7Oj3clBK0,0.3283582031726837,false,3PYJVIv17T4,0.3314118981361389,false,07uIEs0xByA,0.3355977237224579,true,NxORXl5VFJM,0.3577176034450531,true,tB-BH0P0gCA,0.32266730070114136,false,izrm6xng4wk,0.2599148154258728,false,oPq6QgPyZoI,0.302547425031662,true,uJdrif6b9u0,0.2479894757270813,true,5TyKbHJrBHA,0.3632321357727051,true,oDRBg7puN5Y,0.34257596731185913,true,KDCVmIE2OvE,0.29420068860054016,false,fadpqtrjSsw,0.34694385528564453,true,
166,2024-06-17 16:29:26.994,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2024-06-17 16:33:40.976,not_blacklisted,8,Key discoveries in chemistry,Differences between Bitcoin and Ethereum: technical and functional features.\,Technical and functional distinctions between Bitcoin and Ethereum.,"Technical differences between Bitcoin and Ethereum: PoW vs PoS, smart contract capabilities, scalability.",1.0208823680877686,18.852248668670654,1.3639581203460693,0.18465971946716309,21.42340636253357,0.07410359382629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 16:34:35.355,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2024-06-17 16:36:55.847,not_blacklisted,8,Bird migration patterns,Beach Soccer\,"Create a variation of topic ""`Beach Soccer`"" to be more specific, using particular names, types, location, or scene, etc., but not longer than 8 words","8-word beach soccer variation with specific names, types, location, or scene. No emojis.",0.9802591800689697,22.86161208152771,6.742001295089722,0.2081756591796875,30.80425763130188,0.07752799987792969,ZFzAz084LTk,0.3657063841819763,false,am8EIrp0OkM,0.32857775688171387,false,fy3laMoCda4,0.3635883629322052,false,3hd5B7uTSyw,0.31135398149490356,true,92TOl41Wlsk,0.3457161486148834,false,-xkgatc8WuA,0.27522754669189453,true,Bm2veRdm_vk,0.34870049357414246,false,fgqrEgF6JsQ,0.2317977398633957,true,hVz_1jktS3A,0.35787662863731384,true,alNVDC6U9U0,0.3049740791320801,true,etsVUvZAgmI,0.3447612524032593,false,ZMpqKoe6L6w,0.32435959577560425,true,
199,2024-06-17 16:43:34.874,not_blacklisted,8,Endangered Species Conservation,Indigenous football tournaments in Germany\,Bavarian Indigenous Cup: Traditional tourneys in Southern Germany.,Native American soccer leagues in Berlin,0.9519574642181396,16.987807035446167,1.227886438369751,0.22472357749938965,19.394042491912842,0.0708918571472168,x-rn9renzsU,0.005365405231714249,false,2CRFli5pCn8,0.26300978660583496,true,MZY89p1--z8,0.19676771759986877,true,WyEMf_caO8k,0.29982009530067444,true,6n8eYea6BUo,0.3076218366622925,true,HXYi5f6LzTc,0.2516055703163147,true,nxbDSO7_hjo,0.31689611077308655,true,EPgmq7YpTCc,0.20198029279708862,true,dQoe2TI1AM8,0.3276751637458801,true,d4HEsWFh8gs,0.14862321317195892,true,_OQqOZyCOIs,0.33933934569358826,true,,,,0.42
10,2024-06-17 16:51:01.145,not_blacklisted,8,Ensuring Proper Ventilation in PC Cases,Baseball throwing technique\,Teach Yankees' pitcher's fastball technique in Yankee Stadium.,Alex Rodriguez's Yankees' throwing technique,0.9343461990356445,25.22891116142273,1.2341601848602295,0.18793892860412598,27.600707530975342,0.06974482536315918,ZBTqnqTtHhU,0.32812386751174927,true,EAim5zHg7XU,0.3478636145591736,false,obgbB0p_oe4,0.36175936460494995,false,7-JhiaXSVGI,0.3056042492389679,true,uPoZj0FpTNg,0.3217012584209442,true,z0MRGXLPq7I,0.3439042866230011,true,q4TZ5Mas8XU,0.21916568279266357,true,nnOMm9NjTkA,0.3222251534461975,false,P0DhI_d_F2E,0.3699735999107361,true,Aa2LQRrSF6g,0.34703177213668823,false,pr4kKYu2mVU,0.33000198006629944,true,,,,
141,2024-06-17 16:55:13.911,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-17 16:55:17.621,not_blacklisted,8,Innovations in Drum Kit Design,"Homemade seafood pasta recipes: pasta with shrimp, salmon\","Seafood pasta with shrimp, salmon, garlic butter sauce, lemon-roasted asparagus, and olive ciabatta, inspired by",The query should be in the Polish language and should consist of a short topic description followed by three unique and relevant keywords. The keywords should accurately describe the expected video content and must not repeat within,0.9536013603210449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-06-17 18:15:53.093,not_blacklisted,8,Unique features of the accordion,Research activities in education and scientific and pedagogical search\,"Neuroscience, AI, and cognitive psychology research in UK universities.","Quantum Learning in Neuroscience Labs, New York City",0.9881348609924316,24.637428998947144,1.6197240352630615,0.20995736122131348,27.456939697265625,4.238305568695068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2024-06-17 18:17:02.044,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-06-17 18:23:41.144,not_blacklisted,8,Smithing and the art of metalwork,"Traditional holidays and customs of Great Britain: Christmas, Halloween, etc.\",London Christmas markets and traditions,"English festive traditions: Christmas, Halloween in London and York"".",0.9888429641723633,19.607996225357056,1.2078208923339844,0.23841500282287598,22.044780492782593,0.07764816284179688,9GPEOLy8cyc,0.14467361569404602,true,HhUoX-gjRKc,0.1251445710659027,true,JjcnkHTlKLw,0.020612306892871857,true,P-cbfkU6E5E,0.20366613566875458,true,xrpkNA8WAsw,0.09710140526294708,false,owbzeC4V-Ek,0.14354494214057922,true,FvxuNMrWag4,0.23075930774211884,true,uZ91jsOrhdU,0.08131413161754608,true,C0hoTyZZs1g,0.056517343968153,false,NM0KjbivI-w,0.0801927000284195,false,kWJkUVKYScU,0.09051626175642014,true,RJ_UTQXxaZY,0.11242446303367615,true,
166,2024-06-17 18:25:10.556,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-06-17 18:25:39.130,not_blacklisted,8,Differences Between Acoustic and Electric Guitars,European tea drinking traditions: taste and ambience\,"\uc0\u55357 \u56589  Explore French tearooms, British pubs, and Italian espresso bars. \u55356 \u57205",Can you please elaborate on what specific aspects or variations you'd like me to focus on within the topic of 'European tea drinking traditions: taste and ambience'? Are there particular types of,1.022538423538208,24.406570196151733,1.2590274810791016,0.16912293434143066,26.858989715576172,0.07545137405395508,rez_4CiTS2w,0.07244215160608292,false,EdiJFAmMiFA,0.19323423504829407,true,rmRSndF888w,0.12973403930664062,true,72aSwbcxbO0,0.1630811095237732,true,TFMkkbjmwY4,0.13788463175296783,false,4nzzgHnBfyU,0.22013989090919495,true,joZvATZVwls,0.07692603766918182,true,q6JObekkLvY,0.2957944869995117,true,uRxfd_W0594,0.18137617409229279,false,hqZ7Q6u_i3M,0.2083989381790161,true,qLHl-RgNdYk,0.1429615318775177,true,hcIisEf2fbo,0.12554684281349182,true,0.40
